gender,locale,sizes
uomo / man,eu,39 / 40 / 40.5 / 39 / 40 / 40.5 / 39 / 40 / 40.5 / 39 / 40 / 40.5
uomo / man,cm,24.1 / 24.5 / 25 / 24.1 / 24.5 / 25 / 24.1 / 24.5 / 25 / 24.1 / 24.5 / 25
uomo / man,uk,6 / 6.5 / 7 / 6 / 6.5 / 7 / 6 / 6.5 / 7 / 6 / 6.5 / 7
uomo / man,us,6.5 / 7 / 7.5 / 6.5 / 7 / 7.5 / 6.5 / 7 / 7.5 / 6.5 / 7 / 7.5
uomo / man,it,6.5 / 7 / 7.5 / 6.5 / 7 / 7.5 / 6.5 / 7 / 7.5 / 6.5 / 7 / 7.5
donna / woman,eu,35 / 35.5 / 36
donna / woman,cm,21.6 / 22.5 / 22.4
donna / woman,uk,2 / 2.5 / 3
donna / woman,us,3 / 3.5 / 4
donna / woman,it,3 / 3.5 / 4